Folder,Ship-To-SAP,Link,Ship-To,ATTN: ,From:,CreateDate,CONTRACT NO.: ,PO Number header,PO Number,No2 Header,No2,Material Code Header,Material Code, Note Under Material,USER:,COUNTRY: ,SHIPPER:,FEEDER VESSEL : [c_feeder],MOTHER VESSEL : [c_mother],VESSEL COMPANY :[c_shpline],FORWARDER: [c_fwd],ETD: [c_etd],ETA: [c_eta],PORT of LOADING : ,PORT of DESTINATION: ,DESTINATION: ,BOOKIN NO.,CONSIGNEE,B/L ,FREE TIME :,COURIER ADDRESS,EORI?No,NOTIFY PARTY:,ALSO NOTIFY1,ALSO NOTIFY2,DELIVER TO,REQUIREMENTS:,Note,Note2,Note3,GRADE,QUANTITY(MT),Unit,DESCRIPTION,Under Description,INVOICE NO.,Shipping Mark,Below Signature
BRIDGESTONE,BRIDGESTONE POZNAN SP/ZO.O.,5500070292 BS POLAND .xls,BRIDGESTONE POZNAN SP/ZO.O,MR.T. Fujioka /SEVP,D.KAWAMORI/UEDA,formula,5500070292,BS POLAND PO No.: ,5500070292,,,,,,BRIDGESTONE POZNAN SP/ZO.O,GDYNIA POLAND,TSL ,ITHACA V.111S,ONE SATISFACTION V.001W,OCEAN NETWORK EXPRESS PTE LTD. C/O,DIRECT,11/02/2026,03/04/2026,,"GDYNIA, POLAND","GDYNIA, POLAND",,BRIDGESTONE POZNAN SP/ZO.O.,,,No need original courier.,PL782205233400000,SAME AS CONSIGNEE,,,,* FULL SET OF surrendered B/L.,*Please send all original docs and COMMERCIAL IV (between UBE and TSL) by PDF copies by E-mail to UBE Tokyo.,,,UBEPOL VCR412,18.9,MTS,POLYBUTADIENE RUBBER ,,,,UBE Elastomer Co. Ltd.
,,,,THAI SYNTHETIC RUBBERS,UBE Elastomer Co. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"* Pls mark BSEU code ""HB12-B"" and ""5500070292""on all document",*NO need original courier to BS and UBE Tokyo.                      ? Changed !!,,,,,,HB12-B / UBEPOL VCR412,,,SHIPPING MARK,
,,,,"CO., LTD.",TEL:81-3-5419-6167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,* Certificate of Origin issued by manufacturer,,,,,,,,,,,
,,,,,FAX:81-3-5419-6250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,* Certificate of Analysis marked BS material code and PO number,,,,,,,,,,BRIDGESTONE POZNAN SP/ZO.O,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  issued by manufacturer,,,,,,,,,,GDYNIA,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"* Declaration of non coniferous wood packing materials"" issued by manufacturer",,,,,,,,,,ORDER:5500070292,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,* General Insurance policy is accepted.,,,,,,,,,,HB12-B/UBEPOL VCR412,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,( TSL don’t need to send the insurance policy together with shipping documents),,,,,,,,,,C/NO.1-15,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MADE IN THAILAND,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
